"geojson","name","group_name","coverage","status","location","values"
"{""type"":""Polygon"",""coordinates"":[[[-117.07677,33.03068],[-117.07431,33.01922],[-117.07785,33.00611],[-117.0738,32.99724],[-117.06045,32.9959],[-117.05849,33.00499],[-117.03852,32.99271],[-117.02566,33.00675],[-117.02505,33.01635],[-117.04515,33.01573],[-117.05654,33.01552],[-117.05875,33.01686],[-117.05311,33.02481],[-117.06574,33.03471],[-117.07677,33.03068]]]}","508-3-1","None","In Car/No Coverage","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.06797,33.05649],[-117.07188,33.04131],[-117.06427,33.03451],[-117.05888,33.0407],[-117.04822,33.02863],[-117.04062,33.02347],[-117.02738,33.02038],[-117.01186,33.01218],[-116.99216,33.01726],[-117.01155,33.03975],[-117.01282,33.0419],[-117.01587,33.06714],[-117.041,33.06548],[-117.05902,33.0664],[-117.06845,33.05566],[-117.06821,33.05587],[-117.06797,33.05649]]]}","508-1-2","SD36XC277","In Car/No Coverage","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.11815,33.09454],[-117.09827,33.08031],[-117.08369,33.09261],[-117.0989,33.09879],[-117.11497,33.09785],[-117.11815,33.09454]]]}","505-7-1","None","No Coverage","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.08956,33.07888],[-117.0844,33.06391],[-117.08035,33.05803],[-117.0714,33.06557],[-117.07105,33.07641],[-117.07596,33.08374],[-117.07878,33.0858],[-117.08159,33.07929],[-117.08956,33.07888]]]}","505-8-2","None","In Car/No Coverage","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.07547,33.08941],[-117.05964,33.07208],[-117.03328,33.06951],[-117.04874,33.0854],[-117.04752,33.09882],[-117.05855,33.09231],[-117.07278,33.09447],[-117.07473,33.08828],[-117.07449,33.08859],[-117.07547,33.08941]]]}","505-9-2","None","In car/No Coverage","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.01883,33.11885],[-117.03109,33.1139],[-117.02422,33.10791],[-117.01858,33.11183],[-117.0041,33.09924],[-116.98595,33.10864],[-116.98693,33.11669],[-117.01686,33.11793],[-117.01883,33.11885]]]}","505-6-2","SD72XC104","In Car/No Coverage","Not Approved","In Car","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.05441,33.13742],[-117.04582,33.12803],[-117.0436,33.1205],[-117.0463,33.11657],[-117.05857,33.12132],[-117.06348,33.12462],[-117.06054,33.13195],[-117.05441,33.13742]]]}","505-3-1","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.07108,33.12111],[-117.05366,33.11141],[-117.05254,33.09872],[-117.06187,33.10171],[-117.06211,33.09458],[-117.06775,33.09654],[-117.06432,33.10387],[-117.06408,33.10914],[-117.06617,33.11244],[-117.07512,33.11305],[-117.07881,33.12151],[-117.06949,33.12338],[-117.06777,33.11915],[-117.06777,33.11915],[-117.07108,33.12111]]]}","505-5-1","SD34XC822","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.33321,33.21471],[-117.31911,33.22198],[-117.3122,33.21219],[-117.33341,33.20501],[-117.35047,33.20342],[-117.35381,33.20929],[-117.34412,33.2121],[-117.33235,33.21513],[-117.33235,33.21513],[-117.33235,33.21513],[-117.33321,33.21471]]]}","501-2-1","SD55XC002","In Car/No Coverage","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.34104,33.23998],[-117.34258,33.22615],[-117.35326,33.22446],[-117.36793,33.23732],[-117.36803,33.23247],[-117.37441,33.2306],[-117.37786,33.23409],[-117.38251,33.22975],[-117.38594,33.22829],[-117.386,33.24088],[-117.37541,33.26238],[-117.33473,33.25982],[-117.32609,33.25055],[-117.32093,33.24881],[-117.3209,33.24014],[-117.34104,33.23998]]]}","501-1-1","SD74XC034","In Car/No Coverage","Not Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.27696,33.36896],[-117.26732,33.3537],[-117.29075,33.33435],[-117.29986,33.34],[-117.29062,33.36975],[-117.27647,33.36823],[-117.27647,33.36823],[-117.27696,33.36896]]]}","501-4-1","None","In Car/No Coverage","No Solution","In Car","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.24635,33.37614],[-117.25025,33.36406],[-117.25699,33.35372],[-117.24612,33.33806],[-117.23237,33.34634],[-117.23237,33.34634],[-117.22792,33.33902],[-117.20076,33.34299],[-117.18945,33.34486],[-117.19833,33.35755],[-117.21776,33.35617],[-117.22367,33.35709],[-117.22098,33.36525],[-117.22985,33.37132],[-117.22963,33.37855],[-117.22986,33.37246],[-117.22987,33.37803],[-117.22985,33.37184],[-117.22985,33.37184],[-117.22985,33.37184],[-117.22975,33.37834],[-117.23368,33.37833],[-117.24635,33.37614]]]}","502-4-1","SD60XC130","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.23438,33.31547],[-117.2248,33.32045],[-117.21841,33.31994],[-117.21757,33.33026],[-117.21167,33.32893],[-117.17973,33.31898],[-117.17355,33.31303],[-117.21691,33.31148],[-117.22673,33.30579],[-117.23029,33.30547],[-117.23438,33.31547]]]}","502-8-2","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.21455,33.29982],[-117.21365,33.28671],[-117.23549,33.27109],[-117.23571,33.26077],[-117.21419,33.25513],[-117.19209,33.26198],[-117.19459,33.28076],[-117.18652,33.29708],[-117.21455,33.29982]]]}","502-9-2","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.23173,33.24415],[-117.23174,33.23577],[-117.2318,33.23572],[-117.24326,33.23541],[-117.24308,33.2303],[-117.24295,33.2283],[-117.23131,33.22769],[-117.21609,33.2286],[-117.21669,33.22344],[-117.19424,33.23204],[-117.19464,33.24804],[-117.2224,33.24551],[-117.23173,33.24415]]]}","502-12-2","SD34XC812","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.09393,33.38058],[-117.06785,33.38225],[-117.03832,33.3707],[-117.02751,33.42562],[-117.09696,33.44788],[-117.12744,33.4111],[-117.09688,33.37893],[-117.08852,33.38059],[-117.08852,33.381],[-117.09393,33.38058]]]}","502-3-2","None","No Coverage","No Solution","In Car","336,2024,2025"
"{""type"":""Polygon"",""coordinates"":[[[-116.86704,32.83623],[-116.84757,32.81975],[-116.85183,32.79777],[-116.84679,32.79719],[-116.83371,32.80005],[-116.83953,32.8202],[-116.82944,32.82387],[-116.82142,32.8112],[-116.8273,32.79993],[-116.80948,32.78621],[-116.80062,32.7916],[-116.734,32.78872],[-116.73303,32.79516],[-116.78013,32.81113],[-116.80807,32.81233],[-116.80024,32.83993],[-116.82394,32.84964],[-116.86704,32.83623]]]}","518-3-2","None","In Car","No solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-116.96789,32.77155],[-116.96667,32.76481],[-116.96179,32.76527],[-116.95873,32.76972],[-116.95579,32.76968],[-116.95973,32.76485],[-116.96068,32.75782],[-116.95769,32.74802],[-116.94954,32.74821],[-116.94654,32.75317],[-116.92972,32.7698],[-116.94081,32.77745],[-116.94275,32.78059],[-116.95679,32.77422],[-116.96722,32.77268],[-116.96789,32.77155]]]}","517-5-2","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-116.99336,32.81411],[-116.98769,32.81344],[-116.98572,32.80153],[-116.98209,32.80247],[-116.9784,32.79902],[-116.98526,32.78861],[-116.99356,32.78549],[-116.99475,32.79479],[-116.99481,32.80019],[-116.99666,32.8032],[-116.99857,32.80436],[-116.99336,32.81411]]]}","518-1-2","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.03778,32.7097],[-117.03504,32.71578],[-117.02612,32.71687],[-117.02252,32.70738],[-117.02475,32.7047],[-117.02449,32.70173],[-117.02501,32.69999],[-117.03169,32.69955],[-117.03615,32.70564],[-117.03032,32.70883],[-117.03195,32.71289],[-117.03778,32.7097]]]}","524-2-3","SD74XC033","In Car","Not approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.07198,32.72504],[-117.06504,32.72599],[-117.05989,32.71816],[-117.06555,32.71447],[-117.07557,32.71301],[-117.07798,32.71982],[-117.07147,32.72511],[-117.07147,32.72511],[-117.07147,32.72511],[-117.07198,32.72504]]]}","524-1-3","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.31218,33.07999],[-117.30138,33.07897],[-117.29654,33.07681],[-117.29427,33.06849],[-117.30448,33.06534],[-117.30549,33.06505],[-117.3125,33.07658],[-117.31218,33.07999]]]}","506-6-1","None","In Car/No Coverage","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.28307,33.11582],[-117.28426,33.10191],[-117.28358,33.09945],[-117.27986,33.09728],[-117.27189,33.09824],[-117.27168,33.1061],[-117.27012,33.10847],[-117.2752,33.11546],[-117.28307,33.11582]]]}","506-2-1","SD34XC861","In Car","Approved","Suburban","None"
